,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple-root-program,
7,apple_rules_lint,Starlark
8,ARKitScenes,Python
9,AudioUnit-Examples,Swift
10,AudioUnitSDK,C++
11,axlearn,Python
12,batch-processing-gateway,Java
13,ccs-caldavclientlibrary,HTML
14,ccs-caldavtester,Python
15,ccs-calendarserver,Python
16,ccs-pycalendar,Python
17,ccs-pykerberos,C
18,ccs-pyopendirectory,C++
19,ccs-pyosxframeworks,Python
20,ccs-pysecuretransport,Python
21,ccs-twistedextensions,Python
22,container,Swift
23,container-builder-shim,Go
24,containerization,Swift
25,coreai-models,Swift
26,coreai-optimization,Python
27,coreai-torch,Python
28,corecrypto,C++
29,coremltools,Python
30,corenet,Jupyter Notebook
31,cups,C
32,darwin-libplatform,C
33,darwin-libpthread,C
34,darwin-xnu,C
35,device-management,
36,dmel,Python
37,dmel-demo,HTML
38,dnikit,Python
39,eidas,Go
40,embedding-atlas,TypeScript
41,example-package-fisheryates,Swift
42,FHIRModels,Swift
43,foundation-models-utilities,Swift
44,foundationdb,C++
45,fstools,C
46,game-center-tools,Python
47,game-porting-toolkit,
48,GCGC,Jupyter Notebook
49,highlightjs-pkl,JavaScript
50,homebrew-apple,Ruby
51,HomeKitADK,C
52,learning-compressible-subspaces,Python
53,learning-subspaces,Python
54,llvm-monorepo-root,
55,llvm-project-v5,C++
56,llvm-project-v5-split,C++
57,mapkit-loader,TypeScript
58,metal-cpp,C++
59,ml-4m,Python
60,ml-acn-embed,Python
61,ml-act,Python
62,ml-ademamix,Python
63,ml-afv,Python
64,ml-agent-evaluator,Jupyter Notebook
65,ml-agentuxlab,TypeScript
66,ml-agm,Python
67,ml-aim,Python
68,ml-all-pairs,Python
69,ml-amips,Python
70,ml-ane-transformers,Python
71,ml-annotator-policy-models,Python
72,ml-aspanformer,Python
73,ml-aspera,Python
74,ml-atoken,Jupyter Notebook
75,ml-aura,Python
76,ml-autofocusformer,Python
77,ml-autofocusformer-segmentation,Python
78,ml-batchquant,Python
79,ml-behavioral-testing-for-mt,
80,ml-bilevel-train-dist,Python
81,ml-bloop,Python
82,ml-cadd,Python
83,ml-calibatt,Python
84,ml-calibration,Jupyter Notebook
85,ml-capsules-inverted-attention-routing,Python
86,ml-cifar-10-faster,Python
87,ml-clara,Python
88,ml-code-switched-speech-translation,Python
89,ml-codeswitching-translations,
90,ml-collegial-ensembles,Python
91,ml-comlet,Swift
92,ml-comotion,Python
93,ml-compress-and-compare,Python
94,ml-constructive-circuit-amplification,Python
95,ml-core,Python
96,ml-covid-mobility,R
97,ml-cread,Python
98,ml-cross-entropy,Python
99,ml-cubifyanything,Python
100,ml-cvnets,Python
101,ml-cvpr2019-swd,Python
102,ml-dab,Python
103,ml-data-parameters,Python
104,ml-dataset-decomposition,Python
105,ml-delphi,
106,ml-depth-pro,Python
107,ml-destseg,Python
108,ml-diffucoder,Python
109,ml-diffusion-alignment-gflownet,Python
110,ml-diffuslm,HTML
111,ml-direct2.5,Python
112,ml-divide-or-conquer,Python
113,ml-dms-dataset,Python
114,ml-dprecs,Jupyter Notebook
115,ml-dr,Python
116,ml-dso,Python
117,ml-duet,Python
118,ml-egodex,Python
119,ml-encqa,Python
120,ml-entity-deduction-arena,Python
121,ml-entropy-reconstruction,Python
122,ml-envmapnet,Python
123,ml-epicache,Python
124,ml-equivariant-neural-rendering,Jupyter Notebook
125,ml-facelit,Python
126,ml-famae,Python
127,ml-fastvit,Python
128,ml-fastvlm,Python
129,ml-fct,Python
130,ml-ferret,Python
131,ml-finerecon,Python
132,ml-flair,Jupyter Notebook
133,ml-flextok,Jupyter Notebook
134,ml-fs-dfm,Python
135,ml-gaudi,
136,ml-gbc,Python
137,ml-genctrl,Python
138,ml-gendered-translation,Ruby
139,ml-gie-bench,Python
140,ml-gmpi,Python
141,ml-gsm-symbolic,
142,ml-gsn,Python
143,ml-hat,
144,ml-hd-gist,Python
145,ml-headsup,HTML
146,ml-health-query-profiles,Python
147,ml-heart-rate-models,Python
148,ml-hierarchical-confusion-matrix,TypeScript
149,ml-hilbert,Python
150,ml-hugs,Python
151,ml-hypercloning,Python
152,ml-hypersim,Python
153,ml-icr2,Python
154,ml-impact,Jupyter Notebook
155,ml-inrflow,Python
156,ml-interactive-data-augmentation,Svelte
157,ml-internal-llms-instruction-following,Python
158,ml-interspeech2022-phi_rtn,
159,ml-isqoe,Python
160,ml-itarflow,Python
161,ml-jointnet,Python
162,ml-key-retrieval-code-tasks,Python
163,ml-keyframer,JavaScript
164,ml-kg-mt,Python
165,ml-kge,Python
166,ml-knowledge-conflicts,Python
167,ml-kpconvx,Python
168,ml-l3m,Python
169,ml-learning-to-evict,Python
170,ml-lgtm,Python
171,ml-lineas,Python
172,ml-lito,Python
173,ml-live-pose,
174,ml-llarp,Python
175,ml-loop,Python
176,ml-lucid-datagen,Python
177,ml-lvsum-video-summarization,Python
178,ml-macereason-math,
179,ml-mad-bench,Jupyter Notebook
180,ml-matrix3d,Python
181,ml-mcf,Python
182,ml-mcp-repo-level-coding,Python
183,ml-mdm,Python
184,ml-mebp,Swift
185,ml-memory-pretraining,Python
186,ml-mgie,Python
187,ml-mia-bench,Jupyter Notebook
188,ml-MixupMP,Python
