,repository_name,language
0,.github,
1,ads-agentic-tools,Python
2,aioshumway,Python
3,android-auth,Kotlin
4,android-sdk,HTML
5,android-store-service,Python
6,annoy,C++
7,annoy-java,Java
8,apollo,Java
9,apollo-elide,Java
10,apollo-metrics,
11,apps-tutorial,
12,argo-cd,
13,argo-rollouts,
14,async-datastore-client,Java
15,async-google-pubsub-client,Java
16,backup-utils,Shell
17,basic-pitch,Python
18,basic-pitch-ts,TypeScript
19,batty,Python
20,bazel,
21,bazel-tools,Java
22,beam,Java
23,big-data-rosetta-code,Scala
24,bigtable-autoscaler,Java
25,boilerplate-app,
26,bucket-runner,JavaScript
27,cartography,Python
28,cassandra-extra,Java
29,cassandra-medusa,Python
30,cassandra-opstools,Java
31,cassandra-reaper,
32,causify,
33,certcheck,Python
34,chartify,Python
35,code-of-conduct,
36,collectd,C
37,comet,Python
38,comet-common,Python
39,comet-core,Python
40,completable-futures,Java
41,condor,Java
42,confidence,Python
43,confidence-ai-plugins,Python
44,confidence-cli,TypeScript
45,confidence-openfeature-provider-php,PHP
46,confidence-resolver,Rust
47,confidence-sdk-android,Kotlin
48,confidence-sdk-demos,TypeScript
49,confidence-sdk-dotnet,C#
50,confidence-sdk-flutter,Dart
51,confidence-sdk-go,Go
52,confidence-sdk-java,Java
53,confidence-sdk-js,TypeScript
54,confidence-sdk-python,Python
55,confidence-sdk-rust,Rust
56,confidence-sdk-swift,Swift
57,container-agent,Python
58,conversion-api-tag-template,Smarty
59,cookiecutter-golang,Go
60,coordinator,HTML
61,crtauth,Python
62,crtauth-java,Java
63,crtauth-java-agent-signer-apache,Java
64,crunch-lib,Java
65,cstar,Python
66,daemon-java,Java
67,dataenum,Java
68,DataflowJavaSDK,Java
69,dataproc-java-submitter,Java
70,dataprocxy,Python
71,dbeam,Java
72,debify,Shell
73,dh-virtualenv,Python
74,diffuser,Swift
75,dns-java,Java
76,docgenerator,Java
77,docker-alpine,
78,docker-bigtable,Go
79,docker-cassandra,Shell
80,docker-client,Java
81,docker-gc,Shell
82,docker-kafka,Shell
83,docker-maven-plugin,Java
84,docker-stress,Python
85,dockerfile-maven,Java
86,dockerfile-mode,Emacs Lisp
87,docker_interface,Python
88,drserv,Python
89,druid,
90,duck,Ruby
91,echoprint-codegen,C++
92,echoprint-server,Java
93,elasticsearch-index-window,Java
94,elitzur,Scala
95,eslint-config-oss,JavaScript
96,etcd,Go
97,featran,Scala
98,ffwd,Java
99,ffwd-client-java,Java
100,ffwd-http-client,Java
101,ffwd-ruby,Ruby
102,flink,Java
103,flink-docker,
104,flink-on-k8s-operator,Go
105,flo,Java
106,flume-syslog-source2,Java
107,flyte-flink-plugin,Go
108,fmt-maven-plugin,Java
109,folsom,Java
110,foss-root,
111,futures-extra,Java
112,futuristic-feline,Java
113,gcp-audit,Python
114,gcp-aws-iam-federation-webidentity,HCL
115,gcp-firewall-enforcer,Python
116,gcs-tools,Scala
117,ghelog,Python
118,gimme,Python
119,git-test,Shell
120,github-java-client,Java
121,google-http-java-client,Java
122,gordon,Python
123,gordon-gcp,Python
124,gordon-introspection,Python
